---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 2,ROI 2,ROI 3,ROI 3,ROI 4,ROI 4,ROI 5,ROI 5,ROI 6,ROI 6,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,-,-,-,-
31.501729,,23095.5683,,11658.9524,,14726.1176,,55688.3916,,19925.8776,,38688.2581,,17751.1206,,,,
31.6683887,22040.5468,,8454,,10901.8529,,60522.8811,,20400.8707,,43822.0903,,16297.5035,,,,,
31.8350487,,23051.7698,,11642.9206,,14740.3824,,55712.4196,,19897.2789,,38656.3097,,17734.6383,,,,
32.0017085,22017.9856,,8448.38095,,10891.5882,,60540.2517,,20397.8503,,43817.4452,,16328.3121,,,,,
32.1683685,,23053.9856,,11618.4762,,14737.3235,,55650.2098,,19883.4558,,38636.7742,,17759.8582,,,,
32.3351038,22078.0144,,8449.30159,,10921.0294,,60546.7692,,20383.2925,,43847.2,,16311.0071,,,,,
32.5017635,,23170.4173,,11623.1429,,14701.0294,,55652.4755,,19881.8776,,38697.3677,,17750.2979,,,,
32.6684235,22321.0072,,8455.74603,,10920.7647,,60540.3357,,20344.1361,,43842.4774,,16290.3262,,,,,
32.8350832,,23514.9353,,11680.5397,,14707.6765,,55643.8601,,19880.5442,,38659.3806,,17737.5603,,,,
33.001743,22426.5612,,8446.34921,,10889.2353,,60476.7832,,20395.0204,,43831.8194,,16275.5461,,,,,
33.1684785,,23400.2014,,11652.5397,,14711.2059,,55623.3846,,19856.2449,,38608.8516,,17736.6525,,,,
33.3351382,22402.1007,,8447.49206,,10920.0588,,60534.5734,,20346.2857,,43735.1742,,16234.383,,,,,
33.501798,,23570.2734,,11615.5873,,14717.5588,,55699.1888,,19851.4014,,38675.4065,,17746.9787,,,,
33.668458,22438.6475,,8443.1746,,10907.0882,,60524.7552,,20337.8231,,43803.6903,,16284.1986,,,,,
33.8351178,,23606.3597,,11656.254,,14712.3529,,55687.3846,,19867.2925,,38733.9097,,17709.6738,,,,
34.001853,22283.5108,,8451.42857,,10898.0588,,60497.9301,,20360.2449,,43748.5419,,16302.922,,,,,
34.168513,,23285.8993,,11658.6349,,14734.0588,,55596.1958,,19878.6395,,38704.5161,,17709.4184,,,,
